Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1940,12136.226996023484,8039.509685653572,6843.491048754929,10204.058158459522,16669.688601882237,4340.961223962088,12981.613570258873,9320.14471750843,5172.0007748251555,5569.2248508389275,5304.369889198812,10064.195401943916,5802.266400340493,7098.290043613432,5952.161947059045,5002.055641228974,4448.593729459165,9536.098577514833,10133.306072870646,12518.864851081573,3307.4346256854687,8554.705993480946,10491.84464906214,,8074.734582743881
1941,13360.629525010881,8570.389853204828,5919.5429350858985,11501.408207961797,16448.89508115777,4232.900480176539,14749.068391330811,8331.823120453411,5045.60234207142,5747.5529341059355,5129.88035859764,10982.642691946483,4836.853668974923,7098.092280020767,5805.178399029259,4999.295064757125,4682.808557594682,8943.645509443784,10319.959777768769,12814.554219211244,3577.3846499011456,8526.744344363948,12232.27942593833,,8508.349205003742
1942,14772.269665426013,8093.596570876024,6095.878457030895,13369.168420938686,15915.176638930538,4336.175894485963,15456.295588562152,8431.624936708957,5286.022738509702,5756.508392499069,5163.2107829270735,11213.390882556008,4088.2373384591947,7098.230454907763,5453.9180261754755,4904.472888480888,4881.1793763008345,8105.827171048987,9856.27097153947,13300.566532634217,3498.2203756908984,8578.23416408714,14385.575832161427,,8638.080742781669
1943,15160.754773933553,8257.981127429315,4919.896670614036,13805.1831708926,15639.851467429817,4358.345364832218,16532.499339987568,9253.959990523415,5438.473605804668,6393.905157572109,5148.706579035416,11367.280237931665,3455.5933422669186,7097.887960827825,4606.71170104732,4910.399651448179,4927.646837414667,7856.714733316929,9586.462809289407,14797.096856120379,3699.0638506264254,8972.036309674926,16602.581984587025,,8755.952553265373
1944,14489.97979493789,7739.010830154355,4916.637187236315,14146.955157943377,15866.949053629698,4345.517841479798,15258.820455327523,10097.667116992712,5646.953709037817,6374.3771787169435,3941.46452240692,10870.661716686314,2911.3782859083562,7097.796042320856,3706.448654193027,4627.343935264263,5187.330737542599,5228.917564628101,9002.683374747454,15828.387603168274,3875.8397223398315,9152.550719650506,17708.688116207097,,7841.033751268664
1945,13613.874598596029,3539.346010012189,5194.470725464385,13558.445633523623,20202.063367295854,4644.06830796169,5178.095315505218,9228.792048230694,5224.59141157379,5975.475542463712,4847.525147158524,10357.973375353635,2433.22618659785,7097.878096204034,3314.453606633597,2342.6292915343283,5125.678231579275,5302.116827572649,9987.19036382286,15336.778828666012,3693.330924074216,9237.941990340816,17343.626996384926,,4603.322624341773
1946,12980.180912716476,3957.9141102821645,8067.038120511894,13175.032968524481,21318.805745924856,4850.440281728847,4358.055734498761,10523.135029741496,5416.638697092794,6370.889923497118,6471.1263839557,9901.746149831768,3551.319934994986,7021.131144608759,4445.522706728006,2513.333990449118,5310.048670258225,8796.456303747163,10879.302468389362,15501.331242332135,3947.8906659724166,10118.698225175518,15171.90121744872,,5221.308436890567
1947,13116.904678441766,4382.338551859758,8937.879538960286,13473.399096296758,23585.339222571893,4457.435170370703,5064.969231869396,10993.458917841574,5463.146279990399,6428.376121073218,6815.4820750775525,9694.870251455393,4449.007808518774,7098.133226775498,5261.974298996367,2681.6672811921626,5336.123125940445,9963.856699221527,12206.52298166113,15244.895652709256,4239.999886662455,10674.001724010004,14713.921930127186,,5795.946618639758
1948,13713.390323188794,5569.582238268857,9348.718539365922,13429.896214372287,23755.52634592929,4937.294725838393,5925.121924774892,11172.289125979954,5433.855056094033,6843.798302373122,7641.686533671992,9902.180418777974,4410.097642342715,7191.280994274851,5627.122684878836,3002.472078169526,5399.8040232787025,10836.519710832648,12908.237894484422,15394.821552764517,4190.355710544532,10711.476301663997,15057.701519194721,,6359.2416879641005
1949,14243.492475245434,6633.058927703511,9633.518976625928,13427.532268818535,22819.812662660526,4831.492926503152,7057.156004889728,11830.55082578196,5357.006188888532,7166.367317666878,8049.90518237984,10210.531833715786,4519.547031980174,7513.046758187577,6064.407265259537,3132.192174039256,5535.3169070989925,11606.831439095535,13117.282482939445,14311.660241037893,4211.407173969932,10843.927766705707,14715.889598766353,,6933.889887492941
